Component,Name,Target,Code,Params,,,,,,,,,,,,,Danger Flag,Is Restricted,Description,Note
MOBC,,,,Num Params,Param1,,Param2,,Param3,,Param4,,Param5,,Param6,,,,,
,TLM_MGR_REGISTER_FORWARD_AS_RT_TLM,OBC,0x007C,3,uint8_t,TLM_MGR_BC_ROLE,uint16_t,apid,uint8_t,tlm id,,,,,,,,,TG_GENERATE_RT_TLM を登録,
,TLM_MGR_REGISTER_FORWARD_AS_ST_TLM,OBC,0x007D,4,uint8_t,TLM_MGR_BC_ROLE,uint16_t,apid,uint8_t,tlm id,uint8_t,dr partition (dest info),,,,,,,TG_GENERATE_ST_TLM を登録,
,TLM_MGR_REGISTER_REPLAY_TLM,OBC,0x007E,2,uint8_t,TLM_MGR_BC_ROLE,uint8_t,dr partition (dest info),,,,,,,,,,,DR_REPLAY_TLM を登録,
,TLM_MGR_DELETE_GENERATE_RT_TLM,OBC,0x007F,2,uint8_t,TLM_MGR_BC_ROLE,uint8_t,tlm id,,,,,,,,,,,TG_GENERATE_RT_TLM を削除,
,TLM_MGR_DELETE_GENERATE_ST_TLM,OBC,0x0080,3,uint8_t,TLM_MGR_BC_ROLE,uint8_t,tlm id,uint8_t,dr partition (dest info),,,,,,,,,TG_GENERATE_ST_TLM を削除,
,TLM_MGR_DELETE_FORWARD_AS_RT_TLM,OBC,0x0081,3,uint8_t,TLM_MGR_BC_ROLE,uint16_t,apid,uint8_t,tlm id,,,,,,,,,TG_GENERATE_RT_TLM を削除,
,TLM_MGR_DELETE_FORWARD_AS_ST_TLM,OBC,0x0082,4,uint8_t,TLM_MGR_BC_ROLE,uint16_t,apid,uint8_t,tlm id,uint8_t,dr partition (dest info),,,,,,,TG_GENERATE_ST_TLM を削除,
,TLM_MGR_DELETE_REPLAY_TLM,OBC,0x0083,2,uint8_t,TLM_MGR_BC_ROLE,uint8_t,dr partition (dest info),,,,,,,,,,,DR_REPLAY_TLM を削除,
**,Divided Cmd Utility コマンド,,,,,,,,,,,,,,,,,,,
,DCU_ABORT_CMD,OBC,0x0084,1,uint16_t,Cmd ID,,,,,,,,,,,,,実行中の分割コマンドを停止する,
,DCU_DOWN_ABORT_FLAG,OBC,0x0085,1,uint16_t,Cmd ID,,,,,,,,,,,,,エラー，またはコマンドによって中断ステータスとなっているコマンドを，実行可能状態に戻す,
,DCU_CLEAR_LOG,OBC,0x0086,0,,,,,,,,,,,,,,,ログをクリアする,
**,Test App コマンド,,,,,,,,,,,,,,,,,,,
,TEST_CCP_REGISTER_TLC_ASAP,OBC,0x0087,1,uint32_t,ti,,,,,,,,,,,,,CCP_register_tlc_asap  のテスト用コマンド,
,TEST_CCP_GET_RAW_PARAM_INFO,OBC,0x0088,3,uint16_t,raw data len,uint8_t,first data,raw,raw data,,,,,,,,,CCP UTIL の ParamGenerator のテスト,
**,,,,,,,,,,,,,,,,,,,,
* CDH,GS用,,,,,,,,,,,,,,,,,,,
,DI_GS_DRIVER_RESET,OBC,0x0100,0,,,,,,,,,,,,,,,GS ドライバの初期化,
,DI_GS_SET_RT_FLUSH_INTERVAL,OBC,0x0101,1,uint32_t,排出間隔,,,,,,,,,,,,,RT VCDUの排出間隔設定,
,DI_GS_SET_RP_FLUSH_INTERVAL,OBC,0x0102,1,uint32_t,排出間隔,,,,,,,,,,,,,RP VCDUの排出間隔設定,
,DI_GS_SET_FARM_PW,OBC,0x0103,1,uint8_t,positive_window_width,,,,,,,,,,,,,FARM-1のPositive Window Width設定,
,DI_GS_SET_INFO,OBC,0x0104,1,uint8_t,TLM選択,,,,,,,,,,,,,GS送信TLMが0ならCCSDSに@@ 1ならUARTの情報が出てくる,
,DI_GS_CCSDS_GET_BUFFER,OBC,0x0105,0,,,,,,,,,,,,,,,,
,DI_GS_CCSDS_SET_RATE,OBC,0x0106,1,uint8_t,bps セットパラメータ,,,,,,,,,,,danger,,40M/パラメータ が bps になる．初期値は 0xAD で 230.4 Kbps (微妙に対応していない),
,DI_GS_UART_TLM_ON,OBC,0x0107,0,,,,,,,,,,,,,,,TLM の UART への送出を行う,
,DI_GS_UART_TLM_OFF,OBC,0x0108,0,,,,,,,,,,,,,,,TLM の UART への送出を止める,
**,WDT用コマンド,,,,,,,,,,,,,,,,,,,
,WDT_INIT,OBC,0x0109,0,,,,,,,,,,,,,,,WDT初期化．WDTがアプリイニシャライザを持たなくなったので追加,
,WDT_ENABLE,OBC,0x010A,0,,,,,,,,,,,,,,,WDT有効化,
,WDT_DISABLE,OBC,0x010B,0,,,,,,,,,,,,,,,WDT無効化,
,WDT_STOP_CLEAR,OBC,0x010C,0,,,,,,,,,,,,,danger,,WDTのカウンタクリアを止める＝リセット実行,
,WDT_START_CLEAR,OBC,0x010D,0,,,,,,,,,,,,,,,WDTのカウンタクリアを開始する,
**,UART TESTコマンド,,,,,,,,,,,,,,,,,,,
,UART_TEST_INIT_DI,OBC,0x010E,0,,,,,,,,,,,,,,,DI初期化,
,UART_TEST_UPDATE,OBC,0x010F,0,,,,,,,,,,,,,,,DI update,
,UART_TEST_SEND_TEST,OBC,0x0110,1,uint8_t,id,,,,,,,,,,,,,DI send test,
**,,,,,,,,,,,,,,,,,,,,
* POWER,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* COM,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* MISSION,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* PROP,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* AOCS,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* Thermal,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* Trajectory,,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* HILS,HILS用コマンド,,,,,,,,,,,,,,,,,,,
**,,,,,,,,,,,,,,,,,,,,
* Other,汎用コマンド用コマンド,,,,,,,,,,,,,,,,,,,
,UTIL_CMD_ADD,OBC,0x03E0,6,uint8_t,,uint32_t,,uint32_t,,uint32_t,,uint32_t,,uint32_t,,,,汎用コマンドのバッファに指定サイズのデータを入れる,
,UTIL_CMD_SEND,OBC,0x03E1,1,uint8_t,,,,,,,,,,,,,,引数のCHに汎用コマンドのバッファにあるデータを送信する,
,UTIL_CMD_RESET,OBC,0x03E2,0,,,,,,,,,,,,,,,汎用コマンドのバッファをクリアする,
**,汎用カウンタ用コマンド,,,,,,,,,,,,,,,,,,,
*,UTIL_COUNTER_INCREMENT,OBC,,1,uint8_t,,,,,,,,,,,,,,引数の汎用カウンタをインクリメントする,
*,UTIL_COUNTER_RESET,OBC,,1,uint8_t,,,,,,,,,,,,,,引数の汎用カウンタをリセットする．0xffでALL_CLR,
*,UTIL_COUNTER_SET_PARAM,OBC,,3,uint8_t,,uint32_t,,uint8_t,,,,,,,,,,引数の汎用カウンタの閾値・アノマリ発行有無を設定する,
**,,,,,,,,,,,,,,,,,,,,
